Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/rachelfong/Documents/GitHub/OSGi_TnG_CBSE/apache-karaf-4.4.9/lock
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2026-01-13T17:45:00,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   bcutil/1.83.0
2026-01-13T17:45:00,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   bcpkix/1.83.0
2026-01-13T17:45:00,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.sshd.osgi/2.15.0
2026-01-13T17:45:00,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.sshd.scp/2.15.0
2026-01-13T17:45:00,544 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.sshd.sftp/2.15.0
2026-01-13T17:45:00,544 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.jline/3.30.6
2026-01-13T17:45:00,544 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.shell.core/4.4.9
2026-01-13T17:45:00,554 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.deployer.kar/4.4.9
2026-01-13T17:45:00,900 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.bundle.core/4.4.9
2026-01-13T17:45:00,912 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.bundle.core/4.4.9
2026-01-13T17:45:00,913 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.config.command/4.4.9
2026-01-13T17:45:00,915 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.config.command/4.4.9
2026-01-13T17:45:00,926 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.features.command/4.4.9
2026-01-13T17:45:00,930 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.features.command/4.4.9
2026-01-13T17:45:00,931 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.instance.core/4.4.9
2026-01-13T17:45:00,937 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.instance.core/4.4.9
2026-01-13T17:45:00,937 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.shell.commands/4.4.9
2026-01-13T17:45:00,940 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.9
2026-01-13T17:45:00,940 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Updating commands for bundle org.apache.karaf.shell.commands/4.4.9
2026-01-13T17:45:00,941 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.aries.jmx.whiteboard/1.2.0
2026-01-13T17:45:00,942 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.jaas.config/4.4.9
2026-01-13T17:45:00,944 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.system.core/4.4.9
2026-01-13T17:45:00,947 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.system.core/4.4.9
2026-01-13T17:45:00,947 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.kar.core/4.4.9
2026-01-13T17:45:00,950 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.kar.core/4.4.9
2026-01-13T17:45:00,950 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.package.core/4.4.9
2026-01-13T17:45:00,953 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.package.core/4.4.9
2026-01-13T17:45:00,953 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.log.core/4.4.9
2026-01-13T17:45:00,956 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.log.core/4.4.9
2026-01-13T17:45:00,957 | INFO  | activator-1-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Unregistering commands for bundle org.apache.karaf.log.core/4.4.9
2026-01-13T17:45:00,957 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.management.server/4.4.9
2026-01-13T17:45:00,958 | INFO  | activator-1-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.log.core/4.4.9
2026-01-13T17:45:00,959 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.jaas.modules/4.4.9
2026-01-13T17:45:00,959 | INFO  | activator-1-thread-1 | Activator                        | 41 - org.apache.karaf.management.server - 4.4.9 | Setting java.rmi.server.hostname system property to 127.0.0.1
2026-01-13T17:45:00,962 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.shell.ssh/4.4.9
2026-01-13T17:45:00,972 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.4.9. Missing service: [org.apache.sshd.server.SshServer]
2026-01-13T17:45:00,973 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.aries.jmx.api/1.1.5
2026-01-13T17:45:00,973 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.jaas.command/4.4.9
2026-01-13T17:45:00,978 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.jaas.command/4.4.9
2026-01-13T17:45:00,979 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.9
2026-01-13T17:45:00,979 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.9
2026-01-13T17:45:00,980 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.service.core/4.4.9
2026-01-13T17:45:00,989 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.service.core/4.4.9
2026-01-13T17:45:00,990 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.karaf.diagnostic.core/4.4.9
2026-01-13T17:45:00,993 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.9 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.4.9
2026-01-13T17:45:00,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   org.apache.aries.jmx.core/1.1.8
2026-01-13T17:45:00,995 | INFO  | features-3-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
